order_id,order_date,order_month,order_quarter,order_year,customer_id,customer_name_initial,customer_age_group,customer_gender,customer_occupation,customer_segment,customer_since_year,city,state,pincode,tier,platform,device_type,traffic_source,category,subcategory,brand,product_id,product_name_code,unit_price_inr,quantity,discount_percent,discount_amount_inr,selling_price_inr,gst_percent,gst_amount_inr,total_amount_inr,payment_method,emi_months,wallet_name,shipping_method,shipping_cost_inr,delivery_days,order_status,return_flag,return_reason,refund_amount_inr,warehouse,seller_id,seller_rating,product_rating,review_count,wishlist_flag
ORD000011,2022-09-28,Sep,Q3,2022,CUST16658,U.N,65+,F,Retired,New,2015,Lucknow,Telangana,400120,Tier 2,Amazon India,Mobile,Organic Search,Fashion,Women Clothing,Zara,PROD196781,ZAR-WOM-807,18402.4,3,32,17666.3,37540.9,28,10511.45,48052.35,Net Banking,0,,Express,0,5,Shipped,0,,0,Hyderabad WH,SEL1058,3.7,2.8,2145,0
ORD000012,2022-02-06,Feb,Q1,2022,CUST56357,R.N,18-24,M,Business Owner,VIP,2017,Hyderabad,Maharashtra,760810,Tier 1,Nykaa,Desktop,Social Media,Beauty & Health,Makeup,Loreal,PROD918011,LOR-MAK-263,83983.61,1,22,18476.39,65507.22,12,7860.87,73368.09,EMI,0,,Standard,0,4,Delivered,0,,0,Chennai WH,SEL4878,4.7,4.9,1450,1
ORD000013,2022-02-09,Feb,Q1,2022,CUST46585,U.Q,55-64,F,Student,Regular,2023,Patna,Gujarat,529093,Tier 3,Nykaa,Tablet,Referral,Grocery,Dairy,Amul,PROD468203,AMU-DAI-905,78430.94,2,1,1568.62,155293.26,12,18635.19,173928.45,EMI,0,,Same Day,79.29,5,Processing,0,,0,Chennai WH,SEL6425,4.9,2.8,2139,0
ORD000014,2023-09-13,Sep,Q3,2023,CUST19171,K.T,65+,F,Retired,Premium,2016,Indore,Tamil Nadu,439164,Tier 2,Myntra,App-Android,Referral,Automotive,Bike Accessories,JBM,PROD796503,JBM-BIK-488,39300.57,5,34,66810.97,129691.88,12,15563.03,145254.91,EMI,9,,Express,0,6,Delivered,0,,0,Hyderabad WH,SEL5920,4.0,4.2,2672,1
ORD000015,2023-08-06,Aug,Q3,2023,CUST98555,Q.P,25-34,F,Salaried,Premium,2016,Bhopal,Telangana,287934,Tier 3,Meesho,Mobile,Organic Search,Books,Science,Penguin,PROD324082,PEN-SCI-350,52239.63,3,29,45448.48,111270.41,28,31155.71,142426.12,Net Banking,0,,Overnight,0,8,Delivered,0,,0,Hyderabad WH,SEL5649,4.0,4.1,2745,0
ORD000016,2022-03-16,Mar,Q1,2022,CUST33053,W.Q,65+,F,Homemaker,Inactive,2015,Kochi,West Bengal,597115,Tier 2,Nykaa,App-iOS,Email,Grocery,Dry Fruits,Amul,PROD943170,AMU-DRY-262,59078.62,1,48,28357.74,30720.88,5,1536.04,32256.92,Wallet,0,Google Pay,Overnight,0,7,Delivered,0,,0,Chennai WH,SEL5082,4.8,2.8,1092,1
ORD000017,2022-09-23,Sep,Q3,2022,CUST20561,E.H,45-54,M,Salaried,New,2017,Kolkata,Telangana,511641,Tier 1,Nykaa,App-iOS,Referral,Sports,Cycling,Reebok,PROD245095,REE-CYC-120,25785.96,3,21,16245.15,61112.73,18,11000.29,72113.02,Buy Now Pay Later,0,,Free Shipping,0,9,Delivered,0,,0,Chennai WH,SEL4505,3.1,3.5,4445,1
ORD000018,2023-05-04,May,Q2,2023,CUST13804,K.V,45-54,M,Student,New,2017,Kochi,Andhra Pradesh,533956,Tier 2,Meesho,App-Android,Paid Ad,Electronics,Smart Watches,Sony,PROD507746,SON-SMA-151,66142.6,5,14,46299.82,284413.18,28,79635.69,364048.87,Wallet,0,,Same Day,43.66,7,Delivered,0,,0,Chennai WH,SEL8657,4.8,5.0,4375,0
ORD000019,2022-12-02,Dec,Q4,2022,CUST55870,U.C,25-34,M,Homemaker,Regular,2015,Chandigarh,Kerala,793414,Tier 2,Myntra,App-Android,Referral,Sports,Yoga,Yonex,PROD335113,YON-YOG-362,85612.25,4,16,54791.84,287657.16,5,14382.86,302040.02,Wallet,0,Paytm,Same Day,93.59,9,Delivered,0,,0,Delhi WH,SEL1508,4.9,3.0,166,0
ORD000020,2023-09-13,Sep,Q3,2023,CUST87607,U.H,55-64,F,Business Owner,VIP,2019,Bhopal,Delhi,216851,Tier 3,Flipkart,App-iOS,Referral,Furniture,Beds,Durian,PROD824161,DUR-BED-449,51863.13,4,25,51863.13,155589.39,12,18670.73,174260.12,UPI,0,,Standard,0,2,Cancelled,0,,0,Chennai WH,SEL2983,4.6,3.9,336,1
ORD000021,2023-05-17,May,Q2,2023,CUST67091,X.S,45-54,F,Self-Employed,Regular,2020,Patna,Haryana,391433,Tier 3,Ajio,Tablet,Paid Ad,Fashion,Bags,Biba,PROD965845,BIB-BAG-599,66067.2,3,39,77298.62,120902.98,28,33852.83,154755.81,Debit Card,0,,Express,0,8,Delivered,0,,0,Bangalore WH,SEL5022,4.7,2.7,3692,0
ORD000022,2022-09-22,Sep,Q3,2022,CUST94659,P.O,45-54,F,Homemaker,Inactive,2016,Nagpur,Maharashtra,128080,Tier 2,JioMart,Tablet,Referral,Beauty & Health,Personal Care,Patanjali,PROD846420,PAT-PER-564,64833.71,4,35,90767.19,168567.65,12,20228.12,188795.77,Net Banking,0,,Same Day,0,8,Delivered,0,,0,Bangalore WH,SEL5820,3.4,4.2,2508,1
ORD000023,2022-09-15,Sep,Q3,2022,CUST35443,H.L,55-64,F,Business Owner,Premium,2019,Chandigarh,Delhi,298158,Tier 2,Ajio,Mobile,Influencer,Sports,Football,MRF,PROD410636,MRF-FOO-112,66499.56,3,46,91769.39,107729.29,18,19391.27,127120.56,Debit Card,0,,Free Shipping,0,2,Delivered,0,,0,Bangalore WH,SEL1231,4.4,2.8,372,0
ORD000024,2023-04-26,Apr,Q2,2023,CUST29555,S.J,55-64,F,Homemaker,New,2018,Ahmedabad,Maharashtra,199318,Tier 1,Snapdeal,App-iOS,Email,Grocery,Bakery,Everest,PROD950544,EVE-BAK-412,43046.85,1,25,10761.71,32285.14,28,9039.84,41324.98,EMI,0,,Free Shipping,0,2,Returned,1,Not as Described,37829.06,Hyderabad WH,SEL2940,4.1,3.5,4883,0
ORD000025,2022-03-03,Mar,Q1,2022,CUST71592,B.H,45-54,M,Retired,Premium,2019,Jaipur,Telangana,412099,Tier 2,Meesho,Tablet,Influencer,Furniture,Beds,Godrej,PROD405407,GOD-BED-245,15724.84,1,10,1572.48,14152.36,5,707.62,14859.98,Credit Card,0,,Standard,81.29,10,Delivered,0,,0,Mumbai WH,SEL8438,3.1,3.1,2167,0
ORD000026,2022-06-19,Jun,Q2,2022,CUST88385,N.X,65+,F,Retired,Regular,2019,Chennai,West Bengal,447978,Tier 1,Meesho,App-Android,Direct,Books,Self-Help,Bloomsbury,PROD141797,BLO-SEL-767,84845.59,5,34,144237.5,279990.45,28,78397.33,358387.78,EMI,0,,Overnight,0,8,Shipped,0,,0,Bangalore WH,SEL1423,3.2,4.9,4712,0
ORD000027,2022-07-05,Jul,Q3,2022,CUST47777,M.Y,55-64,M,Business Owner,Inactive,2015,Bangalore,West Bengal,686818,Tier 1,Ajio,App-Android,Organic Search,Furniture,Office,Spacewood,PROD794769,SPA-OFF-292,28962.14,1,10,2896.21,26065.93,18,4691.87,30757.8,Cash on Delivery,0,,Free Shipping,81.92,8,Delivered,0,,0,Bangalore WH,SEL8451,3.2,3.1,949,1
ORD000028,2023-09-30,Sep,Q3,2023,CUST41365,F.J,18-24,M,Homemaker,VIP,2015,Jaipur,Telangana,687596,Tier 2,Snapdeal,App-Android,Influencer,Grocery,Bakery,Aashirvaad,PROD844261,AAS-BAK-594,39485.64,4,7,11055.98,146886.58,5,7344.33,154230.91,Debit Card,0,,Overnight,193.66,10,Cancelled,0,,0,Delhi WH,SEL7684,3.2,5.0,929,1
ORD000029,2023-04-13,Apr,Q2,2023,CUST47072,J.S,45-54,F,Salaried,Premium,2022,Jaipur,Bihar,718093,Tier 2,Nykaa,Desktop,Influencer,Automotive,Tyres,JBM,PROD861319,JBM-TYR-894,24933.64,4,21,20944.26,78790.3,18,14182.25,92972.55,Debit Card,0,,Overnight,0,1,Cancelled,0,,0,Mumbai WH,SEL3434,3.9,3.7,2723,1
ORD000030,2022-11-22,Nov,Q4,2022,CUST12011,E.N,65+,M,Self-Employed,Inactive,2017,Hyderabad,West Bengal,796587,Tier 1,Nykaa,Tablet,Referral,Grocery,Dry Fruits,Haldirams,PROD857537,HAL-DRY-835,86884.29,3,6,15639.17,245013.7,28,68603.84,313617.54,UPI,0,,Overnight,19.84,8,Delivered,0,,0,Hyderabad WH,SEL2225,3.9,4.9,2773,1
ORD000031,2022-02-06,Feb,Q1,2022,CUST13794,K.Z,55-64,M,Salaried,Premium,2019,Bhopal,Tamil Nadu,168845,Tier 3,Flipkart,App-iOS,Influencer,Furniture,Beds,Godrej,PROD148225,GOD-BED-491,8949.04,1,28,2505.73,6443.31,12,773.2,7216.51,Credit Card,0,,Free Shipping,0,5,Delivered,0,,0,Kolkata WH,SEL6873,3.7,2.9,4351,1
ORD000032,2022-09-04,Sep,Q3,2022,CUST49210,N.W,25-34,F,Retired,VIP,2022,Patna,Punjab,372246,Tier 3,Snapdeal,Tablet,Organic Search,Grocery,Beverages,Amul,PROD769975,AMU-BEV-949,60047.98,4,18,43234.55,196957.37,12,23634.88,220592.25,EMI,12,,Overnight,14.7,6,Delivered,0,,0,Bangalore WH,SEL5949,3.4,3.5,3958,0
ORD000033,2022-01-09,Jan,Q1,2022,CUST92345,U.U,35-44,F,Business Owner,New,2019,Bhopal,Kerala,151337,Tier 3,Meesho,Desktop,Paid Ad,Furniture,Sofa,Spacewood,PROD201883,SPA-SOF-905,31772.65,2,39,24782.67,38762.63,18,6977.27,45739.9,Net Banking,0,,Free Shipping,0,3,Shipped,0,,0,Bangalore WH,SEL8222,3.1,3.4,1076,0
ORD000034,2023-06-28,Jun,Q2,2023,CUST98647,V.M,45-54,F,Business Owner,VIP,2020,Lucknow,Bihar,694384,Tier 2,Nykaa,Tablet,Organic Search,Automotive,Care Products,Michelin,PROD859396,MIC-CAR-791,26632.22,3,7,5592.77,74303.89,28,20805.09,95108.98,Buy Now Pay Later,0,,Express,191.62,3,Returned,1,Changed Mind,90432.5,Chennai WH,SEL2479,4.6,2.5,4395,0
ORD000035,2022-01-26,Jan,Q1,2022,CUST49893,D.D,55-64,M,Homemaker,Regular,2023,Bangalore,Punjab,356205,Tier 1,Ajio,App-iOS,Email,Furniture,Shelves,Godrej,PROD616554,GOD-SHE-386,27265.9,4,7,7634.45,101429.15,12,12171.5,113600.65,Buy Now Pay Later,0,,Standard,9.02,1,Cancelled,0,,0,Kolkata WH,SEL3222,3.8,3.4,4425,1
ORD000036,2023-01-15,Jan,Q1,2023,CUST62184,G.D,35-44,M,Salaried,Inactive,2016,Kolkata,Andhra Pradesh,586805,Tier 1,Myntra,Mobile,Influencer,Sports,Yoga,Reebok,PROD389282,REE-YOG-883,61741.66,5,41,126570.4,182137.9,18,32784.82,214922.72,Cash on Delivery,0,,Free Shipping,0,1,Delivered,0,,0,Delhi WH,SEL4475,4.3,4.0,174,0
ORD000037,2023-08-24,Aug,Q3,2023,CUST24408,A.E,25-34,F,Retired,Regular,2020,Hyderabad,Kerala,125582,Tier 1,Flipkart,App-Android,Email,Sports,Fitness,Yonex,PROD793169,YON-FIT-896,88563.13,2,34,60222.93,116903.33,18,21042.6,137945.93,UPI,0,,Same Day,0,3,Delivered,0,,0,Hyderabad WH,SEL4898,4.2,2.5,2173,0
ORD000038,2023-08-31,Aug,Q3,2023,CUST74260,O.C,45-54,F,Homemaker,Inactive,2020,Noida,Maharashtra,194714,Tier 2,Nykaa,Mobile,Influencer,Fashion,Jewellery,Fabindia,PROD847006,FAB-JEW-818,86764.95,1,30,26029.49,60735.46,28,17005.93,77741.39,EMI,0,,Standard,0,7,Delivered,0,,0,Kolkata WH,SEL3430,3.1,3.2,4795,1
ORD000039,2023-10-29,Oct,Q4,2023,CUST65936,V.I,18-24,F,Salaried,Inactive,2017,Patna,Bihar,502483,Tier 3,Amazon India,App-iOS,Direct,Automotive,Tools,JBM,PROD427704,JBM-TOO-675,74483.99,4,26,77463.35,220472.61,5,11023.63,231496.24,Net Banking,0,,Same Day,0,6,Delivered,0,,0,Kolkata WH,SEL8770,3.1,4.6,763,1
ORD000040,2022-05-06,May,Q2,2022,CUST82910,D.Y,55-64,F,Student,Premium,2018,Delhi,Telangana,402099,Tier 1,Snapdeal,Tablet,Social Media,Toys & Games,Dolls,Toysrus,PROD485415,TOY-DOL-459,52053.87,2,9,9369.7,94738.04,28,26526.65,121264.69,EMI,6,,Standard,44.62,2,Delivered,0,,0,Delhi WH,SEL8030,4.7,4.9,4560,0
ORD000041,2022-05-27,May,Q2,2022,CUST30631,J.X,35-44,F,Business Owner,New,2016,Hyderabad,Haryana,450140,Tier 1,Ajio,App-iOS,Email,Furniture,Office,Pepperfry,PROD488028,PEP-OFF-524,47789.39,4,26,49700.97,141456.59,28,39607.85,181064.44,UPI,0,,Same Day,0,6,Delivered,0,,0,Delhi WH,SEL1861,3.3,4.4,407,0
ORD000042,2023-06-09,Jun,Q2,2023,CUST36794,G.Y,25-34,F,Retired,Premium,2019,Chennai,Telangana,253901,Tier 1,JioMart,Mobile,Email,Fashion,Sportswear,Puma,PROD416061,PUM-SPO-982,27825.9,2,25,13912.95,41738.85,5,2086.94,43825.79,Buy Now Pay Later,0,,Standard,0,1,Delivered,0,,0,Chennai WH,SEL5742,3.7,2.5,3527,0
ORD000043,2022-01-20,Jan,Q1,2022,CUST91018,W.L,45-54,F,Business Owner,VIP,2021,Indore,Rajasthan,202410,Tier 2,Myntra,Tablet,Influencer,Grocery,Snacks,Everest,PROD582446,EVE-SNA-272,37649.69,1,25,9412.42,28237.27,5,1411.86,29649.13,Wallet,0,Amazon Pay,Standard,0,6,Shipped,0,,0,Hyderabad WH,SEL2734,3.5,4.0,4292,0
ORD000044,2023-10-11,Oct,Q4,2023,CUST33218,U.P,18-24,F,Homemaker,VIP,2022,Gurugram,Haryana,596490,Tier 2,Snapdeal,App-iOS,Organic Search,Fashion,Accessories,Biba,PROD910389,BIB-ACC-460,13264.34,2,11,2918.15,23610.53,12,2833.26,26443.79,Debit Card,0,,Free Shipping,151.28,2,Delivered,0,,0,Mumbai WH,SEL6295,4.7,4.1,1236,1
ORD000045,2022-11-14,Nov,Q4,2022,CUST82655,X.B,18-24,F,Business Owner,Regular,2018,Delhi,Gujarat,581579,Tier 1,Meesho,Mobile,Paid Ad,Grocery,Bakery,Aashirvaad,PROD930281,AAS-BAK-824,77795.08,1,39,30340.08,47455.0,28,13287.4,60742.4,EMI,12,,Overnight,0,8,Delivered,0,,0,Chennai WH,SEL6267,4.2,3.8,506,1
ORD000046,2023-06-21,Jun,Q2,2023,CUST98916,J.I,65+,F,Salaried,Inactive,2017,Gurugram,Bihar,798457,Tier 2,Flipkart,Tablet,Direct,Automotive,Tyres,Steelbird,PROD505341,STE-TYR-485,69723.38,5,3,10458.51,338158.39,18,60868.51,399026.9,EMI,12,,Same Day,13.12,2,Delivered,0,,0,Delhi WH,SEL6461,3.2,4.2,2865,1
ORD000047,2023-11-18,Nov,Q4,2023,CUST39693,E.C,65+,F,Retired,Premium,2016,Pune,Gujarat,420160,Tier 1,Nykaa,Desktop,Paid Ad,Automotive,Bike Accessories,JBM,PROD244247,JBM-BIK-285,16304.64,2,21,6847.95,25761.33,28,7213.17,32974.5,UPI,0,,Free Shipping,0,4,Delivered,0,,0,Delhi WH,SEL9317,4.5,4.6,4313,0
ORD000048,2023-03-25,Mar,Q1,2023,CUST35430,V.S,25-34,M,Self-Employed,Regular,2022,Kolkata,West Bengal,571999,Tier 1,Ajio,Tablet,Direct,Electronics,TV,LG,PROD485709,LG-TV-205,70562.65,2,34,47982.6,93142.7,12,11177.12,104319.82,EMI,9,,Free Shipping,0,5,Processing,0,,0,Mumbai WH,SEL5616,4.6,3.8,3429,0
ORD000049,2022-10-19,Oct,Q4,2022,CUST64381,M.Q,18-24,F,Salaried,Premium,2018,Patna,Bihar,502127,Tier 3,Amazon India,Tablet,Influencer,Fashion,Footwear,W,PROD155843,W-FOO-583,8344.05,2,28,4672.67,12015.43,18,2162.78,14178.21,Debit Card,0,,Express,0,1,Processing,0,,0,Kolkata WH,SEL7326,5.0,3.4,230,1
ORD000050,2023-04-26,Apr,Q2,2023,CUST47762,J.D,45-54,M,Business Owner,Inactive,2018,Mumbai,Telangana,160068,Tier 1,Myntra,Desktop,Social Media,Grocery,Staples,Tata,PROD349183,TAT-STA-539,49436.5,5,33,81570.23,165612.27,28,46371.44,211983.71,Net Banking,0,,Standard,0,2,Processing,0,,0,Hyderabad WH,SEL7878,4.3,4.1,514,0
ORD000051,2022-12-28,Dec,Q4,2022,CUST71621,U.M,55-64,F,Salaried,Regular,2019,Bangalore,Uttar Pradesh,501435,Tier 1,JioMart,App-iOS,Social Media,Sports,Running,SG,PROD145649,SG-RUN-933,47391.74,5,50,118479.35,118479.35,5,5923.97,124403.32,Cash on Delivery,0,,Express,0,7,Delivered,0,,0,Kolkata WH,SEL1266,3.7,2.7,1975,0
ORD000052,2023-04-21,Apr,Q2,2023,CUST62196,R.P,35-44,M,Self-Employed,New,2015,Bangalore,Haryana,375618,Tier 1,Nykaa,App-Android,Email,Grocery,Beverages,Britannia,PROD955015,BRI-BEV-447,18222.03,2,2,728.88,35715.18,18,6428.73,42143.91,Buy Now Pay Later,0,,Express,185.74,9,Delivered,0,,0,Chennai WH,SEL4131,3.6,4.7,391,1
ORD000053,2023-12-10,Dec,Q4,2023,CUST20494,V.J,65+,F,Retired,New,2022,Bangalore,Haryana,431384,Tier 1,Snapdeal,Mobile,Organic Search,Grocery,Spices,MDH,PROD443848,MDH-SPI-787,54259.55,2,34,36896.49,71622.61,18,12892.07,84514.68,Wallet,0,PhonePe,Overnight,0,6,Delivered,0,,0,Bangalore WH,SEL7981,3.3,3.6,3662,0
ORD000054,2023-06-10,Jun,Q2,2023,CUST14244,E.V,45-54,F,Business Owner,VIP,2020,Noida,Punjab,581778,Tier 2,Myntra,Mobile,Organic Search,Home & Kitchen,Cookware,Bajaj,PROD734487,BAJ-COO-853,6143.28,3,23,4238.86,14190.98,28,3973.47,18164.45,Buy Now Pay Later,0,,Express,0,10,Delivered,0,,0,Chennai WH,SEL7095,3.9,2.7,1127,1
ORD000055,2023-06-15,Jun,Q2,2023,CUST69250,W.O,25-34,M,Self-Employed,Inactive,2020,Lucknow,Haryana,202055,Tier 2,Myntra,Mobile,Paid Ad,Toys & Games,Action Figures,Fisher Price,PROD281043,FIS-ACT-911,55106.76,4,12,26451.24,193975.8,5,9698.79,203674.59,Buy Now Pay Later,0,,Express,27.01,2,Delivered,0,,0,Delhi WH,SEL6692,4.4,3.9,2378,1
ORD000056,2023-05-21,May,Q2,2023,CUST63843,N.S,25-34,M,Salaried,New,2017,Patna,Kerala,187333,Tier 3,Amazon India,Mobile,Direct,Electronics,Smart Watches,LG,PROD906527,LG-SMA-256,7849.77,3,25,5887.33,17661.98,28,4945.35,22607.33,Debit Card,0,,Same Day,0,9,Shipped,0,,0,Delhi WH,SEL6194,4.3,3.6,4238,1
ORD000057,2022-06-15,Jun,Q2,2022,CUST22245,U.F,55-64,M,Student,Regular,2017,Pune,Bihar,730556,Tier 1,Amazon India,App-iOS,Social Media,Beauty & Health,Supplements,Dove,PROD626986,DOV-SUP-766,22628.42,5,17,19234.16,93907.94,12,11268.95,105176.89,EMI,12,,Express,124.38,10,Processing,0,,0,Hyderabad WH,SEL3804,4.3,4.3,4957,1
ORD000058,2023-03-03,Mar,Q1,2023,CUST67619,P.O,25-34,F,Retired,Inactive,2020,Nagpur,Telangana,323933,Tier 2,Flipkart,Tablet,Paid Ad,Furniture,Sofa,Spacewood,PROD535810,SPA-SOF-577,72440.47,4,19,55054.76,234707.12,28,65717.99,300425.11,EMI,3,,Standard,14.52,1,Delivered,0,,0,Bangalore WH,SEL3353,3.6,4.3,2829,1
ORD000059,2023-04-06,Apr,Q2,2023,CUST75308,O.P,25-34,F,Student,Regular,2022,Delhi,Telangana,433528,Tier 1,Snapdeal,App-Android,Direct,Sports,Badminton,Nivia,PROD639728,NIV-BAD-963,37689.31,2,20,15075.72,60302.9,18,10854.52,71157.42,Wallet,0,Amazon Pay,Overnight,0,4,Cancelled,0,,0,Bangalore WH,SEL1379,3.2,3.5,3745,0
ORD000060,2023-07-04,Jul,Q3,2023,CUST57516,J.C,18-24,F,Self-Employed,VIP,2023,Hyderabad,Bihar,515116,Tier 1,JioMart,Desktop,Paid Ad,Electronics,Laptops,Boat,PROD680096,BOA-LAP-716,68769.72,3,2,4126.18,202182.98,28,56611.23,258794.21,EMI,3,,Free Shipping,10.18,9,Shipped,0,,0,Chennai WH,SEL8378,4.5,3.2,973,0
ORD000061,2023-05-28,May,Q2,2023,CUST90356,F.M,45-54,M,Self-Employed,VIP,2019,Hyderabad,Haryana,756447,Tier 1,Flipkart,App-Android,Direct,Electronics,Mobile Phones,Samsung,PROD434002,SAM-MOB-415,46787.01,2,38,35558.13,58015.89,12,6961.91,64977.8,Cash on Delivery,0,,Standard,0,6,Processing,0,,0,Hyderabad WH,SEL6511,4.0,3.8,4012,1
ORD000062,2023-05-01,May,Q2,2023,CUST35006,O.K,65+,M,Retired,Premium,2017,Indore,West Bengal,549122,Tier 2,JioMart,App-Android,Direct,Books,Comics,Penguin,PROD119857,PEN-COM-485,64933.34,4,9,23376.0,236357.36,12,28362.88,264720.24,Debit Card,0,,Same Day,6.28,2,Delivered,0,,0,Delhi WH,SEL7765,4.4,3.5,3863,0
ORD000063,2023-04-16,Apr,Q2,2023,CUST47880,G.W,18-24,F,Homemaker,VIP,2020,Lucknow,Madhya Pradesh,622756,Tier 2,Meesho,Tablet,Organic Search,Automotive,Electronics,Steelbird,PROD839142,STE-ELE-394,22261.07,5,19,21148.02,90157.33,12,10818.88,100976.21,Buy Now Pay Later,0,,Standard,187.36,5,Delivered,0,,0,Bangalore WH,SEL8861,3.7,4.8,2240,1
ORD000064,2023-03-29,Mar,Q1,2023,CUST23133,K.W,65+,F,Homemaker,Premium,2016,Jaipur,Andhra Pradesh,605351,Tier 2,Snapdeal,Tablet,Social Media,Books,History,Rupa,PROD533377,RUP-HIS-761,62684.8,2,6,7522.18,117847.42,12,14141.69,131989.11,EMI,3,,Standard,48.25,9,Returned,1,Defective,111548.53,Mumbai WH,SEL3252,3.0,3.9,1293,1
ORD000065,2023-10-30,Oct,Q4,2023,CUST14910,J.S,25-34,F,Self-Employed,Premium,2016,Ahmedabad,Rajasthan,742063,Tier 1,Flipkart,Tablet,Paid Ad,Furniture,Chairs,Urban Ladder,PROD109717,URB-CHA-848,3365.95,4,50,6731.9,6731.9,28,1884.93,8616.83,Debit Card,0,,Overnight,0,3,Returned,1,Better Price,8507.58,Kolkata WH,SEL6489,3.6,5.0,4450,1
